IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,UNIT,VALUE
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,India,Percentage,-24.1784037558685
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Indonesia,Percentage,25.9615384615385
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Iran (Islamic Republic of),Percentage,2.04081632653061
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Iraq,Percentage,-28
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Ireland,Percentage,10.5263157894737
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Israel,Percentage,33.3333333333333
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Italy,Percentage,-10.8108108108108
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Jamaica,Percentage,-23.0769230769231
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Japan,Percentage,13.3333333333333
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Jordan,Percentage,25
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Kazakhstan,Percentage,-17.948717948718
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Kenya,Percentage,-59.6491228070175
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Kiribati,Percentage,8.88888888888889
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Kuwait,Percentage,38.8888888888889
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Kyrgyzstan,Percentage,-27.4509803921569
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Lao People's Democratic Republic,Percentage,-77.6470588235294
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Latvia,Percentage,-41.6666666666667
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Lebanon,Percentage,-22.5806451612903
1BA87266D2C859,TB_e_mort_change_1520_prct,Percentage of change in number of TB deaths between 2015 and 2023,2023,Lesotho,Percentage,-15.8730158730159
