IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,UNIT,VALUE
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2016,Senegal,Newly enrolled on HIV treatment,Number,190
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2017,Senegal,Newly enrolled on HIV treatment,Number,109
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2018,Senegal,Newly enrolled on HIV treatment,Number,515
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2019,Senegal,Newly enrolled on HIV treatment,Number,134
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2019,Senegal,Currently on HIV treatment,Number,7417
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2020,Senegal,Newly enrolled on HIV treatment,Number,1197
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2020,Senegal,Currently on HIV treatment,Number,5857
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2021,Senegal,Newly enrolled on HIV treatment,Number,731
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2021,Senegal,Currently on HIV treatment,Number,2410
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Senegal,Newly enrolled on HIV treatment,Number,1038
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Senegal,Currently on HIV treatment,Number,1995
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Senegal,Newly enrolled on HIV treatment,Number,1170
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Senegal,Currently on HIV treatment,Number,1998
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2016,Seychelles,Newly enrolled on HIV treatment,Number,0
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2019,Seychelles,Currently on HIV treatment,Number,3
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2020,Seychelles,Currently on HIV treatment,Number,2
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2021,Seychelles,Newly enrolled on HIV treatment,Number,1
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2021,Seychelles,Currently on HIV treatment,Number,1
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Seychelles,Newly enrolled on HIV treatment,Number,2
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Seychelles,Currently on HIV treatment,Number,2
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Seychelles,Newly enrolled on HIV treatment,Number,1
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Seychelles,Currently on HIV treatment,Number,4
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2015,Sierra Leone,Newly enrolled on HIV treatment,Number,1025
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2016,Sierra Leone,Newly enrolled on HIV treatment,Number,3609
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2017,Sierra Leone,Newly enrolled on HIV treatment,Number,5323
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2018,Sierra Leone,Newly enrolled on HIV treatment,Number,5265
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2018,Sierra Leone,Currently on HIV treatment,Number,13396
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2019,Sierra Leone,Newly enrolled on HIV treatment,Number,5658
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2020,Sierra Leone,Newly enrolled on HIV treatment,Number,0
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2020,Sierra Leone,Currently on HIV treatment,Number,3552
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2021,Sierra Leone,Currently on HIV treatment,Number,6124
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Sierra Leone,Newly enrolled on HIV treatment,Number,7397
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2022,Sierra Leone,Currently on HIV treatment,Number,50370
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Sierra Leone,Newly enrolled on HIV treatment,Number,9372
244CFCE95113B4,TB_hiv_reg_tpt_num,Provision of TB preventive treatment to people living with HIV,2023,Sierra Leone,Currently on HIV treatment,Number,9455
