"Donor","Pledges (USD)","Contributions (USD)"
"AMFm United Kingdom","104763462.4","104763462.4"
"Australia","182165960","177611811"
"BHP Billiton Sustainable Communities","10000000","10000000"
"Belgium","77466705","77466705"
"Bill & Melinda Gates Foundation","502773488","501473488"
"Canada","612341015","612341014.99"
"Chevron Corporation","5000000","5000000"
"Children's Investment Fund Foundation","6160057","6160057"
"China","15000000","15000000"
"Comic Relief","7208401.48","7208401.48"
"Debt2Health - Australia-Indonesia","21084860.98","21084860.97"
"Debt2Health - Germany-Côte d'Ivoire","6441882.56","6441882.54"
"Denmark","57390637.5","57390637.5"
"Ecobank","3000000","750000"
"Estonia","4077.19","4077.19"
"European Commission","502854050","502854049.99"
"France","1467790200","1394400689.99"
"Germany","903778225","903778225"
"Iceland","50000","50000"
"India","13500000","13500000"
"Ireland","40771950","40771950"
"Italy","135906500","135906500"
"Japan","800000000","800000000"
"Kenya","2000000","2000000"
"Korea (Republic)","12028481.14","12028481.14"
"Kuwait","1000000","1000000"
"LMI (Lutheran Malaria Initiative)","11989167.05","144124.44"
"Liechtenstein","331089.27","331089.27"
"Luxembourg","10872520","10872520"
"Malawi","500000","0"
"Munich Re","250500","250500"
"M∙A∙C AIDS Fund","2000000","2000000"
"Namibia","1000000","1000000"
"Nationale Postcode Loterij N.V.","3397662.5","3397662.5"
"Netherlands","251427025","243680354.5"
"Nigeria","30000000","0"
"Norway","277415180","277415180"
"Other Private Sector","15020000","602822"
"Portugal","135906.5","135906.5"
"Product (RED)","100000000","100000000"
"Russian Federation","0","0"
"Saudi Arabia","25000000","25000000"
"South Africa","1500000","1500000"
"Sweden","380824750","380824750"
"Switzerland","66217854","66217854"
"Tahir Foundation","10987334.19","10987334.18"
"Takeda Pharmaceutical","2708638.37","2708638.35"
"Thailand","4500000","4499950"
"United Kingdom","1636929100","1309543280"
"United Methodist Church","13666853","13666853"
"United Nations Foundation","776255","776255"
"United States","4106999999.99","3844564329"
"Vale","3000000","3000000"
"Zimbabwe","1000000","1000000"
