year,causename,deaths
2021,Ischaemic heart disease,9072389
2021,COVID-19,8774203
2021,Stroke,6980886
2021,Chronic obstructive pulmonary disease,3550707.5
2021,Lower respiratory infections,2468626.5
2021,"Trachea, bronchus, lung cancers",1853327.9
2021,Alzheimer disease and other dementias,1846956.9
2021,Diabetes mellitus,1623356
2021,Kidney diseases,1405117.8
2021,Tuberculosis,1394315.1
2021,Hypertensive heart disease,1387757.1
2021,Cirrhosis of the liver,1316198.9
2021,Diarrhoeal diseases,1252516.3
2021,Road injury,1176393.3
2021,Colon and rectum cancers,954845.75
