country,region,total,public,private,othermedical,unknownmedical,pharmacy,traditional,selftreated,noaction,others,unknown
Bangladesh,Asia,"26,882",1816,4906,,,6533,23,643,12947,14,
Cambodia (2010-2011),Asia,"1,916",947,305, ,9,401,21,28,197,6,2
Ethiopia,Africa,3026,628,199,21,55,40,3, ,1932, ,148
Gambia,Africa,"3,462","1,398",220, , ,17,14, ,"1,424",112,277
Ghana,Africa,"1,969",695,61,37, ,324,20,567,264, ,1
Indonesia,Asia,"8,552","1,178",672,381, ,"2,636", , ,"3,685", , 
Kenya,Africa,"4,137","1,033",198,3,,56,,,"2,763",9,117
Lao People's Democratic Republic,Asia,"3,239",990,106,32, ,690,26, ,"1,210",20,165
Malawi,Africa,"2,715",901,379, , ,32,41,236,"1,096",4,26
Mongolia,Asia,"2,546",170,29,746, ,215,2, ,"1,233",58,93
Myanmar (2009-2010),Asia,"1,691",197,166,, ,271,243,307,440,67, 
Nigeria,Africa,"2,466",628,172,7,3,319,11,680,604,34,6
Philippines (2016),Asia,"2,815",359,162,3,6,4,10,1130,"1,143",,18
Rwanda,Africa,"2,855",941,48, , ,101,54, ,"1,934",38, 
Sudan,Africa,"2,053","1,077",90,141, ,52,49, ,575,69, 
Uganda,Africa,"2,714","1,038",146,17, ,421,11,22,"1,059", ,0
United Republic of Tanzania,Africa,"3,388",702,36,114,41,147,11, ,"1,688", ,649
Viet Nam (2006-2007),Asia,"4,172","1,029",199, , ,671,25, ,"2,248", , 
Viet Nam (2017-2018),Asia,"2,256",428,77,,256,357,,,"1,115",23,
Zambia,Africa,"4,453","1,680",75,74, ,16,1, ,"2,534", ,73
Zimbabwe,Africa,"1,833",438,45, , ,17,13, ,"1,130", ,217
Democratic People's Republic of Korea,Asia,"2,944","1,742",,,,,3,,"1,193",,6
Myanmar (2017-2018),Asia,"1,387",243,269,,,193,24,,639,19,
South Africa,Africa,"5,168","1,575",130,,,8,,,"3,442",13,
Lesotho,Africa,"1,825",782,34,40,,53,,,916,,
Eswatini,Africa,"2,659",807,92,,,,,,"1,550",,210
Mozambique,Africa,"3,193",527,15,3,,13,12,,"1,892",4,727
Nepal,Asia,"3,022",884,378,,,210,25,106,1303,27,89
India,Asia,"14,176",2527,2565,64,,,,,9020,,
Cambodia (2023-2024),Asia,754,193,78,11,,96,4,,372,,
