iso3,age,cat,year,best,lo,hi
KHM,a,Incidence,1997,935.4602999,664.054662,1288.992544
KHM,a,Mortality,1997,95.07490128,51.25862185,165.1578163
KHM,a,Incidence,1998,913.7224681,649.0781861,1259.326408
KHM,a,Mortality,1998,90.9445891,49.1926891,156.6874129
KHM,a,Incidence,1999,885.8897664,629.2787657,1220.116544
KHM,a,Mortality,1999,86.03725252,46.59073059,147.5395939
KHM,a,Incidence,2000,853.1042727,605.0489732,1172.017494
KHM,a,Mortality,2000,80.55941337,43.6533729,136.0710478
KHM,a,Incidence,2001,815.3288169,577.4425631,1116.965106
KHM,a,Mortality,2001,74.65728535,40.64871716,125.3862337
KHM,a,Incidence,2002,773.071931,548.1004739,1057.055467
KHM,a,Mortality,2002,68.78362457,37.62223601,114.8645888
KHM,a,Incidence,2003,727.8142707,517.5149474,993.1833841
KHM,a,Mortality,2003,63.04486704,34.56596296,104.6318308
KHM,a,Incidence,2004,682.7365547,485.3487132,928.0534337
KHM,a,Mortality,2004,57.35285026,31.52278871,94.74470132
KHM,a,Incidence,2005,640.4148345,454.6520734,865.8792269
KHM,a,Mortality,2005,52.0722397,28.60966731,85.28253485
KHM,a,Incidence,2006,593.2519139,425.9828417,804.5630833
KHM,a,Mortality,2006,47.04476603,25.95998321,76.59650947
KHM,a,Incidence,2007,548.7443393,399.9781986,745.1606462
KHM,a,Mortality,2007,42.43716454,23.67112737,68.86298705
KHM,a,Incidence,2008,508.8538909,374.7013595,689.3188823
KHM,a,Mortality,2008,38.57766221,21.68934457,62.48578301
KHM,a,Incidence,2009,473.3641984,348.7419824,639.7884853
KHM,a,Mortality,2009,35.37598491,19.94727494,57.36572042
KHM,a,Incidence,2010,441.808477,326.2463114,596.9134296
KHM,a,Mortality,2010,32.62854224,18.36598133,52.99466931
KHM,a,Incidence,2011,415.7554263,306.9749179,561.2704232
KHM,a,Mortality,2011,30.42541371,17.01374374,49.22720422
KHM,a,Incidence,2012,393.2001276,290.3650296,529.8696562
KHM,a,Mortality,2012,28.37437366,15.85311393,45.9578783
KHM,a,Incidence,2013,372.9322171,276.3613964,501.4313824
KHM,a,Mortality,2013,26.61270223,14.85021299,43.20410249
KHM,a,Incidence,2014,355.3060422,264.058647,477.6778172
KHM,a,Mortality,2014,25.12848186,13.98000655,40.91142651
KHM,a,Incidence,2015,339.2386722,252.6789524,456.4387168
KHM,a,Mortality,2015,23.85472464,13.2154066,38.87624383
KHM,a,Incidence,2016,325.5396397,242.8273404,437.4447763
KHM,a,Mortality,2016,22.6546596,12.55646411,37.11854654
KHM,a,Incidence,2017,313.4144252,234.3807022,421.0016176
KHM,a,Mortality,2017,21.58699405,11.9735809,35.56707835
KHM,a,Incidence,2018,302.8252046,227.4086137,406.4815801
KHM,a,Mortality,2018,20.66282006,11.46984401,34.21506602
KHM,a,Incidence,2019,293.4687948,220.5953923,394.0353578
KHM,a,Mortality,2019,19.85205602,11.02543656,32.96746837
KHM,a,Incidence,2020,285.2825796,214.6014588,383.0424549
KHM,a,Mortality,2020,19.14835088,10.6402912,31.85003106
KHM,a,Incidence,2021,278.6182189,209.8638401,373.7339485
KHM,a,Mortality,2021,19.24400105,10.45784097,32.7554622
KHM,a,Incidence,2022,276.916022,208.8630319,373.5033332
KHM,a,Mortality,2022,19.5282942,10.45249287,32.85604986
KHM,a,Incidence,2023,276.21382,208.0831141,370.3577126
KHM,a,Mortality,2023,18.74688563,10.13686613,31.25598944
KHM,a,Incidence,2024,272.3579424,204.9658152,364.5300503
KHM,a,Mortality,2024,18.22992613,9.883698333,30.39618616
