State,Cluster,2024,Growth_17_24,success_rate_2023_pct,NFHS_PC1
Andhra Pradesh,2,81804,-0.015808850068577202,95.56,4.263508982161454
Arunachal Pradesh,1,2939,-0.06816740646797717,74.75,-2.8777996141989317
Assam,0,49389,0.22937720914023996,89.43,-4.367259695695327
Bihar,0,203853,1.112707147965053,84.23,-8.004951683019028
Chandigarh,3,4108,-0.3072512647554806,77.97,6.369501832630822
Chhattisgarh,2,38957,-0.05609129676293855,89.13,-2.9393446216755876
Delhi,2,90281,0.37011518674214255,77.76,2.9490362728843307
Goa,3,1973,0.019638242894056846,75.48,6.425601271796458
Gujarat,2,129465,-0.13146295811781752,91.57,-1.713421712673191
Haryana,0,83673,1.0532747662634045,88.27,1.6275776370593664
Himachal Pradesh,2,15621,-0.05045286000851012,88.17,1.8853493354264312
Jammu and Kashmir,2,11964,0.1420389461626575,86.17,-2.272712378100524
Jharkhand,0,63913,0.4483547860768673,90.15,-7.0364801786209865
Karnataka,2,74135,-0.08686119698966584,87.38,1.4076396252852237
Kerala,3,20214,-0.11162872461984706,83.26,8.593213991709362
Ladakh,1,318,,78.35,-3.9227701479935333
Lakshadweep,3,14,-0.6956521739130435,92.31,4.969397259029406
Madhya Pradesh,0,177525,0.3215293338196869,87.68,-2.209453396625352
Manipur,1,2561,-0.08698752228163993,71.89,-0.9104641167937131
Meghalaya,1,4318,0.09012875536480687,85.47,-8.5688788164738
Mizoram,1,2163,-0.03652561247216036,72.86,-1.4382825245972384
Nagaland,1,4009,0.3305675406571523,78.2,-4.764819694159725
Odisha,2,59483,0.16532795235483114,92.58,-0.6913499798894303
Puducherry,3,1355,-0.5313040470425459,76.71,8.233381181057466
Punjab,2,60456,0.5055284390875585,82.3,4.292471360635651
Rajasthan,0,168059,0.5570245330566261,89.08,-4.46653220928047
Sikkim,3,1169,0.042818911685994644,81.83,3.999044136688526
Tamil Nadu,2,91318,0.21129077186326917,88.73,7.574927503676954
Telangana,2,74711,0.17239701843860336,92.18,2.39943266004973
Tripura,1,3422,-0.0507628294036061,80.53,-3.0394695580748174
Uttar Pradesh,0,670590,1.21999682190765,92.28,-5.3200019939959935
Uttarakhand,0,28382,0.8098456829486035,90.02,0.5906549739446465
West Bengal,2,97332,-0.08992987377279102,87.07,-1.036745702168169
