State,Total_2025,DRTB_2025,Total_2026,DRTB_2026,Total_2027,DRTB_2027,Total_2028,DRTB_2028,Total_2029,DRTB_2029,Total_2030,DRTB_2030
Andaman and Nicobar Islands,549,20,563,21,575,22,584,23,591,24,597,25
Andhra Pradesh,85833,3175,85919,3264,85987,3353,86042,3441,86086,3529,86121,3617
Arunachal Pradesh,2655,98,2632,100,2614,101,2599,103,2587,106,2578,108
Assam,48528,1795,49459,1879,50386,1965,51308,2052,52225,2141,53137,2231
Bihar,216476,8009,229940,8737,243337,9490,256667,10266,269930,11067,283127,11891
Chandigarh,3939,145,3661,139,3384,132,3109,124,2835,116,2563,107
Chhattisgarh,36213,1339,36067,1370,35950,1402,35856,1434,35781,1467,35721,1500
Dadra and Nagar Haveli and Daman and Diu,770,28,686,26,602,23,518,20,436,17,353,14
Delhi,106474,3939,107853,4098,108957,4249,109839,4393,110545,4532,111110,4666
Goa,1857,68,1816,69,1776,69,1736,69,1696,69,1657,69
Gujarat,135087,4998,133454,5071,131830,5141,130214,5208,128605,5272,127005,5334
Haryana,84433,3124,85986,3267,87228,3401,88222,3528,89017,3649,89653,3765
Himachal Pradesh,15011,555,14955,568,14910,581,14874,594,14845,608,14822,622
Jammu and Kashmir,11976,443,12020,456,12056,470,12085,483,12107,496,12126,509
Jharkhand,63569,2352,65730,2497,67880,2647,70019,2800,72148,2958,74266,3119
Karnataka,73137,2706,72249,2745,71364,2783,70484,2819,69609,2853,68738,2887
Kerala,20083,743,19491,740,18902,737,18316,732,17732,727,17152,720
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,7,0,6,0,5,0,4,0,3,0,3,0
Madhya Pradesh,182475,6751,183997,6991,185214,7223,186188,7447,186967,7665,187591,7878
Maharashtra,217796,8058,220603,8382,223387,8712,226150,9046,228891,9384,231611,9727
Manipur,2223,82,2199,83,2179,85,2163,86,2151,88,2141,89
Meghalaya,4560,168,4564,173,4567,178,4569,182,4571,187,4573,192
Mizoram,2168,80,2172,82,2176,84,2179,87,2181,89,2183,91
Nagaland,4162,154,4183,158,4201,163,4214,168,4225,173,4234,177
Odisha,60315,2231,61022,2318,61677,2405,62286,2491,62851,2576,63375,2661
Puducherry,1910,70,1721,65,1532,59,1345,53,1159,47,974,40
Punjab,58632,2169,59254,2251,59751,2330,60149,2405,60467,2479,60722,2550
Rajasthan,171637,6350,174267,6622,176433,6880,178216,7128,179683,7367,180892,7597
Sikkim,1115,41,1065,40,1026,40,994,39,969,39,949,39
Tamil Nadu,93381,3455,95353,3623,97316,3795,99268,3970,101211,4149,103144,4332
Telangana,73032,2702,73392,2788,73680,2873,73911,2956,74095,3037,74242,3118
Tripura,2932,108,2901,110,2876,112,2856,114,2839,116,2827,118
Uttar Pradesh,670634,24813,712403,27071,753963,29404,795315,31812,836461,34294,877401,36850
Uttarakhand,29566,1093,31118,1182,32662,1273,34198,1367,35727,1464,37248,1564
West Bengal,95312,3526,94010,3572,92713,3615,91423,3656,90140,3695,88863,3732
