State,Total_2025,DRTB_New_2025,DRTB_Ret_2025,DRTB_Total_2025,Total_2026,DRTB_New_2026,DRTB_Ret_2026,DRTB_Total_2026,Total_2027,DRTB_New_2027,DRTB_Ret_2027,DRTB_Total_2027,Total_2028,DRTB_New_2028,DRTB_Ret_2028,DRTB_Total_2028,Total_2029,DRTB_New_2029,DRTB_Ret_2029,DRTB_Total_2029,Total_2030,DRTB_New_2030,DRTB_Ret_2030,DRTB_Total_2030
Andaman and Nicobar Islands,549,17,9,27,563,18,9,28,575,19,10,29,584,20,10,30,591,21,10,31,597,21,10,32
Andhra Pradesh,85833,2486,1325,3812,85919,2556,1347,3903,85987,2625,1358,3983,86042,2694,1379,4074,86086,2763,1400,4163,86121,2832,1410,4242
Arunachal Pradesh,2655,85,45,131,2632,87,45,132,2614,88,45,134,2599,90,46,136,2587,92,46,139,2578,94,46,141
Assam,48528,1562,832,2394,49459,1635,861,2496,50386,1709,884,2593,51308,1785,913,2699,52225,1862,943,2806,53137,1941,967,2908
Bihar,216476,7665,4086,11751,229940,8362,4406,12768,243337,9082,4697,13779,256667,9825,5028,14853,269930,10591,5365,15956,283127,11380,5668,17048
Chandigarh,3939,126,67,194,3661,121,63,184,3384,114,59,174,3109,108,55,163,2835,101,51,152,2563,93,46,140
Chhattisgarh,36213,1165,621,1787,36067,1192,628,1820,35950,1219,630,1850,35856,1247,638,1886,35781,1276,646,1922,35721,1305,650,1955
Dadra and Nagar Haveli and Daman and Diu,770,24,13,38,686,22,11,34,602,20,10,31,518,18,9,27,436,15,7,23,353,12,6,19
Delhi,106474,5141,2740,7881,107853,5348,2818,8166,108957,5545,2868,8413,109839,5733,2934,8668,110545,5914,2996,8911,111110,6089,3033,9123
Goa,1857,35,19,54,1816,36,18,55,1776,36,18,54,1736,36,18,54,1696,36,18,54,1657,36,18,54
Gujarat,135087,5652,3013,8666,133454,5735,3022,8757,131830,5814,3007,8822,130214,5890,3014,8905,128605,5963,3021,8984,127005,6033,3004,9037
Haryana,84433,2717,1448,4166,85986,2842,1497,4340,87228,2959,1530,4490,88222,3070,1571,4641,89017,3175,1608,4783,89653,3275,1631,4907
Himachal Pradesh,15011,289,154,444,14955,296,156,452,14910,303,157,460,14874,310,158,469,14845,317,160,478,14822,324,161,486
Jammu and Kashmir,11976,385,205,591,12020,397,209,606,12056,409,211,620,12085,420,215,635,12107,431,218,650,12126,443,220,663
Jharkhand,63569,2046,1090,3137,65730,2173,1145,3318,67880,2303,1191,3494,70019,2436,1247,3683,72148,2573,1303,3877,74266,2713,1351,4065
Karnataka,73137,1883,1004,2887,72249,1910,1006,2917,71364,1937,1001,2939,70484,1962,1004,2966,69609,1986,1006,2992,68738,2009,1000,3010
Kerala,20083,323,172,495,19491,322,169,491,18902,320,165,486,18316,318,163,481,17732,316,160,476,17152,313,156,469
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,7,0,0,0,6,0,0,0,5,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0
Madhya Pradesh,182475,5873,3131,9005,183997,6082,3205,9288,185214,6284,3250,9534,186188,6479,3316,9795,186967,6669,3378,10047,187591,6854,3414,10268
Maharashtra,217796,11217,5979,17197,220603,11669,6148,17817,223387,12127,6272,18399,226150,12592,6444,19036,228891,13063,6617,19681,231611,13540,6744,20285
Manipur,2223,71,38,109,2199,72,38,111,2179,73,38,112,2163,75,38,113,2151,76,38,115,2141,78,38,117
Meghalaya,4560,146,78,225,4564,150,79,230,4567,154,80,235,4569,159,81,240,4571,163,82,245,4573,167,83,250
Mizoram,2168,34,18,53,2172,35,18,54,2176,36,19,56,2179,37,19,57,2181,38,19,58,2183,39,19,59
Nagaland,4162,133,71,205,4183,138,72,211,4201,142,73,216,4214,146,75,221,4225,150,76,227,4234,154,77,231
Odisha,60315,1941,1035,2976,61022,2017,1063,3080,61677,2092,1082,3175,62286,2167,1109,3276,62851,2241,1135,3377,63375,2315,1153,3469
Puducherry,1910,61,32,94,1721,56,29,86,1532,52,26,78,1345,46,23,70,1159,41,20,62,974,35,17,53
Punjab,58632,1887,1006,2893,59254,1958,1032,2991,59751,2027,1048,3076,60149,2093,1071,3164,60467,2156,1092,3249,60722,2218,1105,3323
Rajasthan,171637,5525,2945,8470,174267,5761,3035,8797,176433,5986,3096,9082,178216,6201,3174,9375,179683,6409,3246,9656,180892,6609,3292,9902
Sikkim,1115,17,9,27,1065,17,9,26,1026,17,9,26,994,17,8,26,969,17,8,26,949,17,8,25
Tamil Nadu,93381,2404,1281,3686,95353,2521,1328,3850,97316,2641,1366,4007,99268,2763,1414,4178,101211,2888,1463,4351,103144,3015,1501,4516
Telangana,73032,2115,1127,3243,73392,2183,1150,3334,73680,2249,1163,3413,73911,2314,1184,3499,74095,2378,1205,3583,74242,2441,1216,3657
Tripura,2932,94,50,144,2901,95,50,146,2876,97,50,148,2856,99,50,150,2839,101,51,152,2827,103,51,154
Uttar Pradesh,670634,21587,11508,33095,712403,23552,12410,35962,753963,25581,13232,38814,795315,27676,14164,41841,836461,29836,15114,44951,877401,32060,15968,48028
Uttarakhand,29566,951,507,1459,31118,1028,542,1570,32662,1108,573,1681,34198,1190,609,1799,35727,1274,645,1919,37248,1361,677,2038
West Bengal,95312,3374,1799,5174,94010,3418,1801,5220,92713,3460,1789,5250,91423,3499,1791,5290,90140,3536,1791,5328,88863,3571,1779,5350
