state,cases_2023_0_14_pct,cases_2023_15_30_pct,cases_2023_31_45_pct,cases_2023_46_60_pct,cases_2023_60plus_pct,cases_2024_0_14_pct,cases_2024_15_30_pct,cases_2024_31_45_pct,cases_2024_46_60_pct,cases_2024_60plus_pct,deaths_2023_0_14_pct,deaths_2023_15_30_pct,deaths_2023_31_45_pct,deaths_2023_46_60_pct,deaths_2023_60plus_pct,deaths_2024_0_14_pct,deaths_2024_15_30_pct,deaths_2024_31_45_pct,deaths_2024_46_60_pct,deaths_2024_60plus_pct
Andaman and Nicobar Islands,4,27,27,26,16,4,24,31,22,19,0.0,0.0,2.4,3.9,8.2,7.7,0.0,5.4,1.7,7.1
Andhra Pradesh,3,17,24,30,26,3,17,25,30,25,0.7,0.7,1.5,1.6,2.7,0.6,0.8,1.4,1.9,2.5
Arunachal Pradesh,9,44,23,14,10,10,41,24,15,10,2.0,1.0,2.2,5.0,5.5,1.0,0.9,2.2,8.2,9.6
Assam,3,26,29,25,17,3,26,28,25,18,1.8,2.0,3.1,5.0,6.5,1.5,1.9,3.2,4.5,6.7
Bihar,10,34,23,18,15,10,34,22,18,16,1.5,1.3,2.5,4.8,7.7,1.0,1.1,2.2,4.2,6.3
Chandigarh,8,35,26,17,14,9,36,25,17,13,1.6,1.3,3.5,8.5,15.0,3.1,1.5,4.1,5.9,9.0
Chhattisgarh,6,25,27,24,18,5,26,27,24,18,1.9,2.4,4.1,7.0,11.5,1.9,2.2,4.2,6.4,10.2
Dadra and Nagar Haveli and Daman and Diu,6,41,31,14,8,7,43,29,15,6,0.0,0.8,1.1,8.6,9.8,0.0,0.3,0.4,0.0,4.3
Delhi,10,43,24,14,9,11,43,23,13,10,1.0,1.0,2.3,5.0,8.5,1.1,0.9,2.2,4.0,7.1
Goa,3,25,28,24,20,3,26,25,26,20,6.7,2.7,5.4,12.4,19.7,4.0,1.0,5.9,8.2,18.1
Gujarat,5,30,28,22,15,4,30,28,22,16,1.7,1.6,3.6,5.7,8.7,1.7,1.7,3.4,5.4,7.9
Haryana,5,32,25,19,19,6,32,25,19,18,1.1,1.2,2.9,6.7,8.9,1.3,1.3,2.9,5.5,9.3
Himachal Pradesh,3,27,24,21,25,3,28,22,22,25,1.0,0.8,2.8,6.2,14.6,1.6,1.0,2.3,5.8,14.5
Jammu and Kashmir,5,27,22,21,25,5,28,21,20,26,2.1,0.4,1.7,4.6,8.8,1.6,0.8,1.8,3.3,7.6
Jharkhand,5,29,28,23,15,4,29,29,23,15,1.3,1.3,2.5,4.0,4.9,1.1,1.3,2.4,3.4,4.8
Karnataka,4,22,28,25,21,4,22,27,26,21,1.2,2.2,5.7,8.3,13.5,1.4,2.1,4.9,6.8,11.7
Kerala,2,13,17,32,36,2,14,18,32,34,0.6,1.2,3.1,6.9,16.9,0.7,1.4,3.4,7.4,16.9
Ladakh,3,16,14,18,49,3,15,16,16,50,0.0,1.4,0.0,1.7,8.6,0.0,2.0,0.0,2.2,2.1
Lakshadweep,0,42,25,8,25,0,8,25,33,34,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0
Madhya Pradesh,7,30,27,21,15,7,30,27,21,15,1.2,1.7,3.0,5.1,8.0,1.2,1.6,3.0,4.8,7.7
Maharashtra,5,31,27,20,17,5,31,26,20,18,1.4,1.4,3.4,5.9,8.9,1.6,1.2,2.8,4.7,8.1
Manipur,3,17,21,25,34,3,19,20,24,34,1.3,1.1,2.4,3.8,5.7,1.7,1.1,2.2,1.9,6.0
Meghalaya,6,35,30,18,11,7,34,31,19,9,2.9,1.8,4.3,7.7,9.6,2.5,1.7,3.7,8.3,12.6
Mizoram,8,31,32,16,13,6,32,30,18,14,0.7,1.6,3.3,5.9,13.3,3.4,2.6,5.8,4.6,16.3
Nagaland,6,35,29,17,13,6,34,30,17,13,1.8,0.8,2.8,3.3,5.1,1.5,1.4,2.3,3.9,5.0
Odisha,4,24,27,27,18,4,24,27,26,19,1.7,1.8,3.5,5.6,8.8,1.2,1.7,3.2,5.2,7.8
Puducherry,2,16,25,33,24,3,17,25,31,24,0.0,2.6,6.0,9.0,14.8,5.3,3.0,4.4,10.3,11.5
Punjab,5,33,24,19,19,5,34,24,19,18,2.1,1.8,3.3,6.2,12.1,1.4,1.5,3.4,5.9,10.1
Rajasthan,5,28,26,21,20,5,28,26,21,20,1.0,1.1,2.1,3.7,6.3,1.0,0.9,2.0,3.1,5.3
Sikkim,4,38,27,15,16,3,35,30,18,14,2.2,1.9,2.4,3.8,9.8,0.0,1.0,1.6,3.8,12.2
Tamil Nadu,3,16,23,33,25,3,16,23,33,25,1.1,1.5,4.1,6.3,10.5,1.2,1.6,4.1,6.0,9.0
Telengana,3,22,26,28,21,3,23,26,27,21,1.2,0.8,2.0,2.5,4.4,0.7,0.6,1.5,1.7,3.2
Tripura,2,17,27,31,23,2,18,24,31,25,2.0,1.8,2.5,6.7,10.9,0.0,1.5,3.1,6.4,9.8
Uttar Pradesh,6,34,24,20,16,7,34,23,20,16,1.2,1.2,2.3,4.2,7.5,1.0,1.1,2.2,4.3,6.8
Uttarakhand,5,32,23,20,20,5,33,23,20,19,0.8,1.1,2.3,4.6,9.0,1.2,1.2,2.4,4.7,9.4
West Bengal,3,27,26,25,19,3,27,26,25,19,2.5,1.5,3.5,7.4,11.6,3.0,1.7,3.5,6.6,11.7
