State,2017,2018,2019,2020,2021,2022,2023,2024
Andaman and Nicobar Islands,292.0,556.0,580.0,478,507,534,488,533
Andhra Pradesh,83118.0,91224.0,98486.0,64065,86832,92187,86033,81804
Arunachal Pradesh,3154.0,3419.0,2944.0,2522,2724,2863,2606,2939
Assam,40174.0,42867.0,48615.0,35261,37641,47822,50180,49389
Bihar,96489.0,104886.0,122231.0,98994,131703,161165,184706,203853
Chandigarh,5930.0,5704.0,6959.0,4294,4720,6066,3912,4108
Chhattisgarh,41272.0,43026.0,43220.0,29339,32416,38521,37473,38957
Dadra and Nagar Haveli and Daman and Diu,1420.0,1348.0,1487.0,965,1013,1399,822,790
Delhi,65893.0,93488.0,122695.0,86842,103038,106731,82426,90281
Goa,1935.0,2493.0,2341.0,1660,2018,2091,1823,1973
Gujarat,149061.0,154622.0,171569.0,120560,144731,151912,133898,129465
Haryana,40751.0,65642.0,75317.0,62697,69083,75838,75745,83673
Himachal Pradesh,16451.0,16482.0,16867.0,13424,14492,16089,15399,15621
Jammu and Kashmir,10476.0,12881.0,15264.0,8830,10826,11804,11382,11964
Jharkhand,44128.0,48450.0,54407.0,45505,52179,57320,60592,63913
Karnataka,81187.0,83069.0,90538.0,65785,72435,80416,74493,74135
Kerala,22754.0,24571.0,28160.0,20835,21872,23388,20558,20214
Ladakh,,,,239,291,320,328,318
Lakshadweep,46.0,19.0,27.0,20,12,11,13,14
Madhya Pradesh,134333.0,160119.0,190472.0,137648,166346,186293,178884,177525
Maharashtra,192458.0,209574.0,227568.0,159663,199976,234105,205909,214670
Manipur,2805.0,2923.0,3122.0,1563,1793,2554,2522,2561
Meghalaya,3961.0,4867.0,5243.0,4139,4152,4989,4493,4318
Mizoram,2245.0,2567.0,2788.0,2334,1749,2085,2115,2163
Nagaland,3013.0,4260.0,4752.0,3487,3648,4125,4192,4009
Odisha,51044.0,56610.0,64797.0,45628,52381,60372,60766,59483
Puducherry,2891.0,3060.0,3350.0,2762,3444,3835,1507,1355
Punjab,40156.0,51040.0,58189.0,46198,50142,55150,56264,60456
Rajasthan,107936.0,133486.0,154696.0,137343,149225,169522,159302,168059
Sikkim,1121.0,1358.0,1391.0,1326,1373,1395,1189,1169
Tamil Nadu,75389.0,78200.0,84089.0,70304,82823,93879,92945,91318
Telangana,63725.0,73245.0,76883.0,63209,60714,72941,72100,74711
Tripura,3605.0,3979.0,4022.0,2071,2543,3024,3425,3422
Uttar Pradesh,302068.0,394982.0,482617.0,366641,453712,522850,613851,670590
Uttarakhand,15682.0,18260.0,19448.0,20000,22789,27553,25674,28382
West Bengal,106950.0,120536.0,135324.0,79039,90487,100972,97535,97332
