State,2017,2018,2019,2020,2021,2022,2023
Andaman and Nicobar Islands,292,556,580,478,507,534,295
Andhra Pradesh,83118,91224,98486,64065,86832,92187,37609
Arunachal Pradesh,3154,3419,2944,2522,2724,2863,1126
Assam,40174,42867,48615,35261,37641,47822,21155
Bihar,96489,104886,122231,98994,131703,161165,77278
Chandigarh,5930,5704,6959,4294,4720,6066,1693
Chhattisgarh,41272,43026,43220,29339,32416,38521,15791
Dadra and Nagar Haveli and Daman and Diu,1420,1348,1487,965,1013,1399,368
Delhi,65893,93488,122695,86842,103038,106731,37361
Goa,1935,2493,2341,1660,2018,2091,871
Gujarat,149061,154622,171569,120560,144731,151912,60585
Haryana,40751,65642,75317,62697,69083,75838,34531
Himachal Pradesh,16451,16482,16867,13424,14492,16089,6924
Jammu and Kashmir,10476,12881,15264,8830,10826,11804,5253
Jharkhand,44128,48450,54407,45505,52179,57320,23890
Karnataka,81187,83069,90538,65785,72435,80416,31794
Kerala,22754,24571,28160,20835,21872,23388,9113
Lakshadweep,46,19,27,20,12,11,6
Madhya Pradesh,134333,160119,190472,137648,166346,186293,72591
Maharashtra,192458,209574,227568,159663,199976,234105,90215
Manipur,2805,2923,3122,1563,1793,2554,900
Meghalaya,3961,4867,5243,4139,4152,4989,2057
Mizoram,2245,2567,2788,2334,1749,2085,981
Nagaland,3013,4260,4752,3487,3648,4125,1896
Odisha,51044,56610,64797,45628,52381,60372,25939
Puducherry,2891,3060,3350,2762,3444,3835,652
Punjab,40156,51040,58189,46198,50142,55150,24800
Rajasthan,107936,133486,154696,137343,149225,169522,69222
Sikkim,1121,1358,1391,1326,1373,1395,615
Tamil Nadu,75389,78200,84089,70304,82823,93879,40923
Telangana,63725,73245,76883,63209,60714,72941,31094
Tripura,3605,3979,4022,2071,2543,3024,1467
Uttar Pradesh,302068,394982,482617,366641,453712,522850,253988
Uttarakhand,15682,18260,19448,20000,22789,27553,10976
West Bengal,106950,120536,135324,79039,90487,100972,44210
