state,lat,lon,mdr_2023,population,mdr_cases_estimated,burden_category
Maharashtra,19.076,72.8777,14.8,112.0,1657600,High
Uttar Pradesh,26.8467,80.9462,14.5,199.0,2885499,High
Bihar,25.0961,85.3131,14.2,104.0,1476800,High
West Bengal,22.9868,87.855,13.8,91.0,1255800,High
Jammu & Kashmir,33.7733,76.5775,13.2,13.0,171600,High
Madhya Pradesh,23.4734,77.9444,12.8,72.0,921600,Medium
Gujarat,22.2587,71.1924,11.5,60.0,690000,Medium
Karnataka,15.3173,75.7139,10.8,61.0,658800,Medium
Tamil Nadu,11.1271,78.6569,9.8,67.0,656600,Low
Rajasthan,27.0238,74.2179,9.2,68.0,625600,Low
Telangana,18.1124,79.0193,8.5,38.0,323000,Low
Kerala,10.8505,76.2711,7.8,33.0,257399,Low
Punjab,31.1471,75.3412,7.2,27.0,194400,Low
Odisha,20.9517,85.0985,6.8,42.0,285600,Low
Delhi,28.7041,77.1025,12.3,1.9,23370,High
