iso3,year,c_newinc,e_pop_num,priv_new_dx
ABW,2000,,88759,
ABW,2001,,90303,
ABW,2002,,91380,
ABW,2003,,92308,
ABW,2004,,93211,
ABW,2005,,94227,
ABW,2006,,95403,
ABW,2007,,96581,
ABW,2008,,97802,
ABW,2009,,99024,
ABW,2010,6,100110,
ABW,2011,8,100984,
ABW,2012,28,101774,
ABW,2013,11,102560,
ABW,2014,2,103369,
ABW,2015,6,104180,
ABW,2016,8,104975,
ABW,2017,8,105735,
ABW,2018,5,106439,
ABW,2019,2,107081,
ABW,2020,1,107406,
ABW,2021,6,107549,
ABW,2022,5,107783,
ABW,2023,4,107935,
ABW,2024,9,108064,
AFG,2000,7107,20130323,
AFG,2001,10139,20284311,
AFG,2002,13794,21378110,
AFG,2003,13808,22733047,
AFG,2004,18404,23560660,
AFG,2005,21844,24404569,
AFG,2006,25475,25424099,1
AFG,2007,28769,25909852,
AFG,2008,28301,26482615,265
AFG,2009,26150,27466100,93
AFG,2010,28029,28284084,430
AFG,2011,27983,29347711,819
AFG,2012,28679,30560030,2128
AFG,2013,30507,31622705,2972
AFG,2014,31746,32792530,2826
AFG,2015,35878,33831765,771
AFG,2016,41954,34700602,1175
AFG,2017,46640,35688933,2410
AFG,2018,48420,36743039,3715
AFG,2019,52438,37856118,4276
AFG,2020,45818,39068984,4843
AFG,2021,50324,40000415,6007
AFG,2022,51749,40578848,5886
AFG,2023,49533,41454760,5323
AFG,2024,51319,42647488,6815
AGO,2000,16062,16194869,
AGO,2001,21713,16747217,
AGO,2002,29996,17327706,
AGO,2003,36079,17943699,
AGO,2004,35437,18600422,
AGO,2005,37175,19291166,
AGO,2006,50419,20015282,8
AGO,2007,41292,20778555,
AGO,2008,44576,21578650,
AGO,2009,41221,22414779,502
AGO,2010,44655,23294824,3829
AGO,2011,47240,24218345,4379
AGO,2012,51819,25177397,1673
AGO,2013,58607,26165617,2601
AGO,2014,53552,27160770,2713
AGO,2015,59705,28157791,2146
AGO,2016,59513,29183074,2361
AGO,2017,54401,30234844,1723
AGO,2018,66189,31297151,5926
AGO,2019,74105,32375636,8279
AGO,2020,63147,33451138,1886
AGO,2021,61691,34532427,
AGO,2022,66356,35635039,
AGO,2023,64912,36749909,2360
AGO,2024,85895,37885846,2643
AIA,2000,,11180,
AIA,2001,0,11471,
AIA,2002,0,11684,
AIA,2003,0,11871,
AIA,2004,0,12072,
AIA,2005,,12273,
AIA,2006,0,12472,0
AIA,2007,0,12672,
AIA,2008,,12888,
AIA,2009,,13104,
AIA,2010,1,13351,
AIA,2011,0,13568,
AIA,2012,0,13381,
AIA,2013,0,13258,
AIA,2014,1,13731,
AIA,2015,0,14208,
AIA,2016,0,14319,
AIA,2017,,14427,
AIA,2018,0,14714,
AIA,2019,,14826,
AIA,2020,,14843,
AIA,2021,0,14483,
AIA,2022,1,14181,
AIA,2023,,14413,
AIA,2024,0,14594,
ALB,2000,604,3166141,
ALB,2001,555,3147944,
ALB,2002,594,3134100,
ALB,2003,555,3118092,
ALB,2004,547,3098661,
ALB,2005,506,3076163,
ALB,2006,469,3050802,
ALB,2007,438,3022889,
ALB,2008,427,2992927,
ALB,2009,445,2961484,
ALB,2010,431,2928723,
ALB,2011,422,2911504,
ALB,2012,408,2910006,
ALB,2013,474,2907570,
ALB,2014,408,2903745,
ALB,2015,415,2898635,0
ALB,2016,415,2897873,
ALB,2017,503,2898250,
ALB,2018,440,2894231,
ALB,2019,412,2885006,
ALB,2020,240,2871955,
ALB,2021,269,2849633,
ALB,2022,292,2827605,
ALB,2023,302,2811661,
ALB,2024,232,2791762,
AND,2000,12,65683,
AND,2001,10,65847,
AND,2002,5,66507,
AND,2003,11,69484,
AND,2004,7,74320,
AND,2005,10,77430,
AND,2006,12,79582,
AND,2007,5,81876,
AND,2008,4,83493,
AND,2009,8,83888,
AND,2010,7,80700,
AND,2011,3,77784,
AND,2012,9,76837,
AND,2013,5,75191,
AND,2014,6,73735,
AND,2015,4,72168,
AND,2016,4,72183,
AND,2017,1,73764,
AND,2018,2,75164,
AND,2019,5,76481,
