year,e_rr_pct_new,e_rr_pct_new_lo,e_rr_pct_new_hi,e_rr_pct_ret,e_rr_pct_ret_lo,e_rr_pct_ret_hi,e_inc_rr_num,e_inc_rr_num_lo,e_inc_rr_num_hi
2015,2.8,2.3,3.3,12.0,10.0,13.0,120000.0,80000.0,150000.0
2016,2.8,2.4,3.3,12.0,11.0,13.0,120000.0,88000.0,140000.0
2017,2.9,2.5,3.4,12.0,11.0,13.0,110000.0,92000.0,140000.0
2018,3.0,2.7,3.4,12.0,11.0,13.0,110000.0,93000.0,140000.0
2019,3.1,2.8,3.4,12.0,11.0,13.0,120000.0,95000.0,140000.0
2020,3.2,3.0,3.5,12.0,12.0,13.0,120000.0,95000.0,140000.0
2021,3.3,3.1,3.5,12.0,12.0,13.0,120000.0,98000.0,140000.0
2022,3.4,3.3,3.6,12.0,12.0,13.0,120000.0,100000.0,150000.0
2023,3.5,3.5,3.6,13.0,12.0,13.0,130000.0,100000.0,150000.0
2024,3.6,3.6,3.7,13.0,12.0,13.0,130000.0,100000.0,150000.0
