pmid,year,title,journal,included,reason_excluded,country,region_state,study_design,setting,population,case_definition,drug_resistance_type,new_or_retreatment,specimen,diagnostic_method,start_year,end_year,n_total,n_resistant,prevalence_percent,ci_low_percent,ci_high_percent,notes,data_source,pdf_or_url
40844110,2025,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",The Indian journal of medical research,,,,,,,,,,,,,,,,,,,,,,
40683298,2025,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",The Lancet. Respiratory medicine,,,,,,,,,,,,,,,,,,,,,,
40672039,2025,Prognostic Value of Time-to-Positivity and Cycle Threshold (CT) Values in Predicting Tuberculosis Outcomes and Multidrug Resistance in Northern India: A Study Using Liquid Culture and Molecular Diagnostics.,Cureus,,,,,,,,,,,,,,,,,,,,,,
40669825,2025,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",Indian journal of medical microbiology,,,,,,,,,,,,,,,,,,,,,,
40540654,2025,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,International journal of mycobacteriology,,,,,,,,,,,,,,,,,,,,,,
40518218,2025,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
40513665,2025,"Unearthing novel mutations and genetic variation in drug sensitive and resistant isolates of Mycobacterium tuberculosis through whole genome sequencing: A study from eastern Uttar Pradesh, India.",Indian journal of medical microbiology,,,,,,,,,,,,,,,,,,,,,,
40354869,2025,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",,,,,,,,,,,,,,,,,,,,,,
40087532,2025,A wake-up call for India to improve the TB elimination strategies.,Pediatric research,,,,,,,,,,,,,,,,,,,,,,
40079698,2025,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,,,,,,,,,,,,,,,,,
40053148,2025,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,Current microbiology,,,,,,,,,,,,,,,,,,,,,,
40013634,2025,Newer research transforming 24-month treatment of MDR/XDR-TB TO 6 months.,Lung India : official organ of Indian Chest Society,,,,,,,,,,,,,,,,,,,,,,
39800206,2025,Genotypic and phenotypic diversity of Mycobacterium tuberculosis strains from eastern India.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",,,,,,,,,,,,,,,,,,,,,,
39629418,2024,To investigate the impact of revised diagnostic algorithm on presentation of multidrug-resistant tuberculosis cases at a referral centre in India.,Journal of family medicine and primary care,,,,,,,,,,,,,,,,,,,,,,
39497757,2024,"Treatment outcomes among patients with isoniazid mono-resistant tuberculosis in Mumbai, India: A retrospective cohort study.",Journal of clinical tuberculosis and other mycobacterial diseases,,,,,,,,,,,,,,,,,,,,,,
39360094,2024,BPaLM Regimen Against Drug-Resistant Tuberculosis in India: A Need of the Hour.,Cureus,,,,,,,,,,,,,,,,,,,,,,
39311013,2024,Response to treatment and low serum vitamin D levels in North Indian patients with treatment-naive category I and multi-drug resistant pulmonary tuberculosis.,Annals of medicine,,,,,,,,,,,,,,,,,,,,,,
39278675,2024,Comparative study of infection control practices in DOTS/sputum microscopy centre in two different districts of state of Uttarakhand and Uttar Pradesh of India.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
39277889,2024,Diagnostics Evaluation of Smart Sure™ Mycobacterium tuberculosis Screening Kit and Smart Sure™ Multidrug-resistant Tuberculosis Detection Kit on Nonsputum Specimens at a Tertiary Care Center of North India.,International journal of mycobacteriology,,,,,,,,,,,,,,,,,,,,,,
39067958,2024,"Treatment outcomes of multidrug resistant tuberculosis (MDR TB) treated with bedaquiline under programmatic management of drug resistant tuberculosis at a tertiary care hospital in Punjab, India.",The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
39067941,2024,Adverse drug reactions due to linezolid in the programmatic management of drug-resistant tuberculosis in India: A retrospective multicenter study.,The Indian journal of tuberculosis,,,,,,,,,,,,,,,,,,,,,,
38825150,2024,Silent epidemic of silicotuberculosis in India and emergence of multidrug-resistant tuberculosis?,Journal of global antimicrobial resistance,,,,,,,,,,,,,,,,,,,,,,
38597637,2024,Whole-genome sequencing of clinical isolates from tuberculosis patients in India: real-world data indicates a high proportion of pre-XDR cases.,Microbiology spectrum,,,,,,,,,,,,,,,,,,,,,,
38192967,2023,Multi-Drug Resistance Tuberculosis (MDR-TB) Challenges in India: A Review.,Cureus,,,,,,,,,,,,,,,,,,,,,,
38153918,2023,"Addressing patients' unmet needs related to multidrug-resistant tuberculosis (MDR-TB) care: A qualitative research study from Pune city, India.",PloS one,,,,,,,,,,,,,,,,,,,,,,
