pmid,title,mention_index,percent,percent_str,n,fraction_num,fraction_den,ci_level,ci_low,ci_high,context_snippet
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",0,95.0,95,,,,95.0,91.0,96.5,"thoDetect™ showed a sensitivity of 98.1 per cent [95% confidence interval (CI): 96.1-99.2], specificity"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",1,95.0,95,,,,95.0,91.0,96.5,"l (CI): 96.1-99.2], specificity of 94.2 per cent (95% CI: 91-96.5), PPV of 94.9 per cent (95% CI: 92.2-"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",2,95.0,95,,,,95.0,91.0,96.5,"per cent (95% CI: 91-96.5), PPV of 94.9 per cent (95% CI: 92.2-96.9), and NPV of 97.8 per cent (95% CI:"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",3,95.0,95,,,,95.0,91.0,96.5,"nt (95% CI: 92.2-96.9), and NPV of 97.8 per cent (95% CI: 95.5-99.1) with near-perfect agreement with T"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",4,95.0,95,,,,95.0,80.2,91.5,"F resistance with a sensitivity of 86.5 per cent (95% CI: 80.2-91.5), specificity of 91.6 per cent (95%"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",5,95.0,95,,,,95.0,80.2,91.5,"95% CI: 80.2-91.5), specificity of 91.6 per cent (95% CI: 88.2-94.3), PPV of 82.3 per cent (95% CI: 75."
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",6,95.0,95,,,,95.0,80.2,91.5,"r cent (95% CI: 88.2-94.3), PPV of 82.3 per cent (95% CI: 75.6-87.8), and NPV of 93.8 per cent (95% CI:"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",7,95.0,95,,,,95.0,88.2,94.3,"nt (95% CI: 75.6-87.8), and NPV of 93.8 per cent (95% CI: 90.7-96.1). For INH resistance, sensitivity w"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",8,95.0,95,,,,95.0,75.6,87.8,"or INH resistance, sensitivity was 88.9 per cent (95% CI: 84.1-92.6), specificity 87 per cent (95% CI:"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",9,95.0,95,,,,95.0,90.7,96.1,"ent (95% CI: 84.1-92.6), specificity 87 per cent (95% CI: 82.4-90.8), PPV 85.6 per cent (95% CI: 80.5-8"
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",10,95.0,95,,,,95.0,84.1,92.6,"per cent (95% CI: 82.4-90.8), PPV 85.6 per cent (95% CI: 80.5-89.8), and NPV 90 per cent (95% CI: 85.7"
