pmid,year,n_percents,min,max,mean
40844110,2025,16,86.8,95.0,94.025
40683298,2025,12,2.0,95.0,55.91666666666666
40672039,2025,1,52.8,52.8,52.8
40669825,2025,34,0.0,93.6,44.54705882352941
40540654,2025,5,4.13,29.0,11.112
40518218,2025,9,5.0,67.5,32.68555555555556
40354869,2025,6,37.9,90.0,72.5
40079698,2025,10,8.0,95.0,64.4
40053148,2025,11,1.37,89.04,30.00090909090909
40013634,2025,2,80.0,90.0,85.0
39497757,2024,12,1.8,88.0,31.775
39278675,2024,8,21.43,100.0,48.80875
39277889,2024,7,68.35,100.0,86.29285714285713
39067958,2024,5,0.12,52.9,19.764
39067941,2024,14,4.44,93.33,35.809285714285714
37968050,2023,3,5.65,26.0,14.216666666666669
37919487,2024,4,3.0,56.0,24.25
37724763,2024,4,45.0,100.0,71.75
37636185,2023,7,0.2,85.0,44.05714285714286
37406039,2023,5,9.3,57.0,37.1
37234098,2023,4,22.0,95.0,53.5
36962909,2022,1,3.0,3.0,3.0
36740313,2023,7,0.58,50.0,19.84
36272707,2022,5,63.0,97.0,83.0
36200688,2022,2,49.09,50.91,50.0
35989319,2022,7,4.4,90.6,53.85714285714285
35760485,2022,1,45.85,45.85,45.85
35435077,2022,1,27.0,27.0,27.0
35044136,2022,2,4.7,23.0,13.85
34752317,2021,5,15.2,88.0,56.620000000000005
34752313,2021,4,54.0,78.0,66.5
34637049,2021,2,8.6,15.4,12.0
34446022,2021,10,15.9,100.0,51.171
34343039,2021,6,9.3,50.0,24.83333333333333
33632218,2021,7,21.0,72.0,48.285714285714285
33600431,2021,11,6.0,95.0,68.45454545454545
33565479,2020,14,7.4,94.7,43.65
33067551,2020,28,1.3,95.0,50.81699821428572
33062976,2020,4,3.5,61.1,27.25
32862166,2020,2,4.3,20.4,12.35
32719234,2020,2,53.28,59.12,56.2
32461400,2020,6,5.71,62.86,29.78
32218585,2020,7,2.3,95.0,49.35428571428572
32192619,2020,8,10.0,95.0,39.25
32192613,2020,5,39.0,89.0,58.2
32130233,2020,11,4.4,100.0,40.40909090909091
31742141,2019,5,2.0,95.0,40.0
31571455,2019,8,2.8,45.1,18.97
31439176,2019,8,20.8,87.0,53.0
31408508,2019,18,4.0,97.0,73.44444444444444
31151497,2019,12,4.8,49.6,20.27
31151492,2019,14,16.0,93.3,56.285714285714285
31114100,2019,7,50.0,89.8,70.37142857142858
30797290,2019,9,2.56,78.0,36.72888888888889
30675322,2018,4,4.3,19.53,10.5475
30668857,2019,1,23.3,23.3,23.3
30611735,2019,6,0.97,12.6,5.794999999999999
30522617,2018,11,0.0,72.1,29.79090909090909
30531028,2018,7,7.8,100.0,52.027142857142856
30319946,2018,13,2.1,86.91,37.74384615384616
29933863,2018,10,1.8,98.5,42.0
29933862,2018,2,23.0,94.0,58.5
29933860,2018,11,16.0,72.0,42.90909090909091
29628698,2018,12,0.4,85.0,23.791666666666668
29604431,2018,11,0.4,95.0,42.93636363636364
29596221,2018,25,5.6,87.3,30.8072
29460737,2018,2,50.0,66.0,58.0
28887289,2018,4,8.0,88.0,40.0
