pmid,title,percents,n_percents,min,max,mean,context_snippets
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",95; 95; 95; 95; 95; 95; 95; 95; 95; 95; 95; 95; 88.8; 93.9; 86.8; 94.9,16,86.8,95.0,94.025,"showed a sensitivity of 98.1 per cent [95% confidence interval (CI): 96.1-99.2], s | .1-99.2], specificity of 94.2 per cent (95% CI: 91-96.5), PPV of 94.9 per cent (95% | 95% CI: 91-96.5), PPV of 94.9 per cent (95% CI: 92.2-96.9), and NPV of 97.8 per cen | : 92.2-96.9), and NPV of 97.8 per cent (95% CI: 95.5-99.1) with near-perfect agreem | ce with a sensitivity of 86.5 per cent (95% CI: 80.2-91.5), specificity of 91.6 per | .2-91.5), specificity of 91.6 per cent (95% CI: 88.2-94.3), PPV of 82.3 per cent (9 | % CI: 88.2-94.3), PPV of 82.3 per cent (95% CI: 75.6-87.8), and NPV of 93.8 per cen | : 75.6-87.8), and NPV of 93.8 per cent (95% CI: 90.7-96.1). For INH resistance, sen | istance, sensitivity was 88.9 per cent (95% CI: 84.1-92.6), specificity 87 per cent | I: 84.1-92.6), specificity 87 per cent (95% CI: 82.4-90.8), PPV 85.6 per cent (95% | (95% CI: 82.4-90.8), PPV 85.6 per cent (95% CI: 80.5-89.8), and NPV 90 per cent (95 | 5% CI: 80.5-89.8), and NPV 90 per cent (95% CI: 85.7-93.4) using pDST as reference. | monstrated higher sensitivity (93.4 vs. 88.8%), specificity (98.2 vs. 93.9%), PPV (96 | (93.4 vs. 88.8%), specificity (98.2 vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. | ificity (98.2 vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for RIF resista | ), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for RIF resistance detection over True"
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",12; 31; 46; 54; 64; 29; 71; 91; 87; 89; 2; 95,12,2.0,95.0,55.916666666666664,"bles, with a non-inferiority margin of -12%. This trial is registered with Clinical | 1030 individuals were screened and 324 (31%) were randomly assigned (219 to the BDL | oup and 105 to the control group). 114 (46%) participants were female and 133 (54%) | (46%) participants were female and 133 (54%) were male. Median age was 30·5 years ( | ge was 30·5 years (IQR 21·6-43·0). 157 (64%) participants had extensive disease at | ase at baseline. In the BDLC group, 47 (29%) of 163 were assigned to receive the 6- | to receive the 6-month regimen and 116 (71%) the 9-month regimen. The core regimen | ne or more other drugs was used for 76 (91%) of 84 participants in the control grou | favourable outcome was reached by 141 (87%) participants in the BDLC group versus | rticipants in the BDLC group versus 75 (89%) in the control group in the mITT popul | population (adjusted risk difference 0·2% [95% CI -9·1 to 9·5]; p The shortened B | ulation (adjusted risk difference 0·2% [95% CI -9·1 to 9·5]; p The shortened BDLC s"
40672039,Prognostic Value of Time-to-Positivity and Cycle Threshold (CT) Values in Predicting Tuberculosis Outcomes and Multidrug Resistance in Northern India: A Study Using Liquid Culture and Molecular Diagnostics.,52.8,1,52.8,52.8,52.8,outcomes. MGIT culture was positive in 52.8% (38/72) of patients (mean TTP: 26.5 day
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",6.7; 32.4; 42.2; 14.4; 81.5; 77; 67.5; 59.2; 48; 17.3; 10; 3.3; 2.2; 9.4; 92; 82.5; 93.6; 68.2; 61.9; 30.7; 53.8; 15.2; 38.4; 0; 69.5; 68.2; 46.3; 46.3; 24.3; 74; 62.9; 48.1; 40.7; 26.9,34,0.0,93.6,44.54705882352941,"neage of lineage 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 | eage 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectiv | and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out of t | .7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out of total 194 culture | r single or in combinations: rpoB (146, 81.5 %), katG (138, 77 %), pncA (62, 34.6), gy | nations: rpoB (146, 81.5 %), katG (138, 77 %), pncA (62, 34.6), gyrA (121, 67.5 %), | 138, 77 %), pncA (62, 34.6), gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) fo | , 34.6), gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, | , 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, 17.3 %), embA ( | , rpsL (86,48 %) followed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA ( | ollowed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 % | G1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 | ,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Lineage 2 was found | 3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Lineage 2 was found to be most mutate | gyrA, embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, re | embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respective | d pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This | ene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was hig | s was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was higher than in | ely. This was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respective | s was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lin | gher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 ( | n in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, | eage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 | , 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respect | , 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), | spectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro | ly), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-America | eage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-American lineag | ectively), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respect | ly), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). | Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on | erican lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this st | ineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this study, lin"
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,11.9; 6.4; 29; 4.13; 4.13,5,4.13,29.0,11.112,"detected M. tuberculosis in 339 cases (11.9%), significantly outperforming microscop | ly outperforming microscopy (183 cases, 6.4%). The highest positivity rates occurred | ssue biopsies and lymph node aspirates (29%), while genitourinary TB was least freq | resistance was identified in 14 cases (4.13%), all confirmed as multidrug-resistant | e settings. The high MDR-TB prevalence (4.13%) underscores the need for rapid molecul"
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,47.50; 67.50; 32.5; 7.50; 26.67; 50; 33.33; 24.17; 5,9,5.0,67.5,32.68555555555556,"trict, Karnataka. India. Most patients (47.50%) were aged 25-44 years. Of the 120 MDR- | 5-44 years. Of the 120 MDR-TB patients, 67.50% are male and 32.5% are female. Of 120 M | 20 MDR-TB patients, 67.50% are male and 32.5% are female. Of 120 MDR-TB patients, 7.5 | .5% are female. Of 120 MDR-TB patients, 7.50% are HIV positive. As part of the study, | ositive. As part of the study, smoking (26.67%), chewing tobacco (50%), and alcohol co | udy, smoking (26.67%), chewing tobacco (50%), and alcohol consumption (33.33%) were | tobacco (50%), and alcohol consumption (33.33%) were found to be other major risk fact | e found to be other major risk factors. 24.17% of patients had a family history of tub | amily history of tuberculosis, of which 5% had contact with an infected person as"
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,57.2; 37.9; 85.9; 90; 77; 87,6,37.9,90.0,72.5,"ther characterisation, out of which 71 (57.2 %) and 47 (37.9 %) were subjected to sequ | ation, out of which 71 (57.2 %) and 47 (37.9 %) were subjected to sequencing and pheno | sequencing data were available for 61 (85.9 %), where the lineage distribution and dr | n pDST and gDST for the drugs was above 90 % except for ETH (77 %) and INH (87 %). T | he drugs was above 90 % except for ETH (77 %) and INH (87 %). The phylogenetic analy | ove 90 % except for ETH (77 %) and INH (87 %). The phylogenetic analysis of the line"
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,36; 54; 94; 95; 95; 95; 87; 40; 40; 8,10,8.0,95.0,64.4,"s from December 2020-December 2022, 42 (36%) exhibited a BDQ-resistant strain. Medi | IQR) age was 24 (22-32) years, with 63 (54%) females and 94% with pulmonary TB. Pat | 22-32) years, with 63 (54%) females and 94% with pulmonary TB. Patients with a BDQ- | ve lung cavities (risk ratio [RR]: 1.8; 95%-CI: 1.1-3.1; P = .02), and be resistant | d be resistant to clofazimine (RR: 2.3; 95%-CI: 1.5-3.6; P = .001). Overall, 102 pa | with BDQ-susceptible patients (RR:2.1; 95%-CI: 1.5-2.8; P < .001). Overall, 87% (3 | 1; 95%-CI: 1.5-2.8; P < .001). Overall, 87% (33/38) of patients with BDQ-resistance | ced unfavorable treatment outcomes: 15 (40%) died, 15 (40%) had treatment failure, | treatment outcomes: 15 (40%) died, 15 (40%) had treatment failure, and 3 (8%) were | 15 (40%) had treatment failure, and 3 (8%) were lost-to-follow-up. The study high"
40053148,Prevalence and Genetic Profiling of Second-line Drug Resistant Tuberculosis at the Tertiary Care Center of Northern India.,28.62; 89.04; 4.11; 6.8; 60.37; 39.72; 71.23; 13.69; 5.48; 9.58; 1.37,11,1.37,89.04,30.00090909090909,"MDR/RR-TB patients were analyzed and 73(28.62%) patients exhibited second-line drug (S | g (SLD) resistance. Among the cases, 65(89.04%) were found to be resistant solely to f | ely to fluoroquinolones (FQ), whereas 3(4.11%) were resistant only to aminoglycosides | minoglycosides (pre-XDR TB). However, 5(6.8%) patients were resistant to both FQ and | s (XDR-TB). We also found that males 44(60.37%) were more affected by SLD resistance t | more affected by SLD resistance than 29(39.72%) females, however SLD resistant females | gene was D94G, which was observed in 52(71.23%) cases, followed by A90V in 10(13.69%), | 2(71.23%) cases, followed by A90V in 10(13.69%), D94N and D94A in 4(5.48%), whereas th | A90V in 10(13.69%), D94N and D94A in 4(5.48%), whereas the rrs gene presented the rr | nted the rrsMUT1 (A1401G) mutation in 7(9.58%) and the rrsMUT2(G1484T) mutation in 1( | ) and the rrsMUT2(G1484T) mutation in 1(1.37%) of SLD-resistant patients. The alarmin"
40013634,Newer research transforming 24-month treatment of MDR/XDR-TB TO 6 months.,80; 90,2,80.0,90.0,85.0,"0; the aim is to reduce TB incidence by 80% and TB deaths by 90%. To eliminate the | ce TB incidence by 80% and TB deaths by 90%. To eliminate the catastrophic cost, th"
