pmid,title,journal,year,authors,abstract
40844110,"Multicentric validation of the PathoDetect™ MTB RIF & INH assay for simultaneous detection of Mycobacterium tuberculosis, & drug resistance to rifampicin & isoniazid in presumptive pulmonary tuberculosis & drug-resistant TB patients.",The Indian journal of medical research,2025,Choudhary H; Malik G; Chauhan DS; Bhalla M; Dusthackeer A; Desikan P; Giri S; Kumar S; Jayaprakasam M; Singh AV; Sethi P; Reza MS; Mythily V; Thiyagarajan V; Panwalkar N; Tripathy J; Mani D; Singh D; Ramesh PM; Chalga MS; Rani R; Gupta N; Pandey RM; Singh M,"Background & objectives Tuberculosis (TB) remains a major global health concern, with India accounting for 26 per cent of the global burden. Despite advances, access to rapid molecular diagnostics is limited, and the assays currently used in National TB Elimination Programme (NTEP) do not detect isoniazid (INH) resistance upfront. PathoDetect™ MTB RIF & INH is an indigenous closed-system assay that simultaneously detects Mycobacterium tuberculosis (MTB) and resistance to rifampicin (RIF) and INH. This study evaluated its diagnostic characteristics. Methods In this cross-sectional multicenter study conducted at six TB reference laboratories in India, 1039 participants were enrolled (718 presumptive pulmonary TB, 321 presumptive multidrug resistant TB; MDR-TB). PathoDetect™'s discriminatory ability was assessed using the measures sensitivity and specificity, and its diagnostic performance using positive predictive value (PPV) and negative predictive value (NPV). Liquid culture served as the reference standard for MTB detection, while phenotypic drug susceptibility testing (pDST) and line probe assay (LPA) as reference standards for RIF and INH resistance detection. Results For MTB detection in presumptive pulmonary TB (PTB), PathoDetect™ showed a sensitivity of 98.1 per cent [95% confidence interval (CI): 96.1-99.2], specificity of 94.2 per cent (95% CI: 91-96.5), PPV of 94.9 per cent (95% CI: 92.2-96.9), and NPV of 97.8 per cent (95% CI: 95.5-99.1) with near-perfect agreement with Truenat® (k=0.89). Among 514 confirmed TB cases, PathoDetect™ detected RIF resistance with a sensitivity of 86.5 per cent (95% CI: 80.2-91.5), specificity of 91.6 per cent (95% CI: 88.2-94.3), PPV of 82.3 per cent (95% CI: 75.6-87.8), and NPV of 93.8 per cent (95% CI: 90.7-96.1). For INH resistance, sensitivity was 88.9 per cent (95% CI: 84.1-92.6), specificity 87 per cent (95% CI: 82.4-90.8), PPV 85.6 per cent (95% CI: 80.5-89.8), and NPV 90 per cent (95% CI: 85.7-93.4) using pDST as reference. Truenat® MTB-RIF showed comparable performance for RIF resistance detection (k=0.75). Compared to line probe assay (LPA), PathoDetect™ demonstrated higher sensitivity (93.4 vs. 88.8%), specificity (98.2 vs. 93.9%), PPV (96.1 vs. 86.8%) and NPV (97 vs. 94.9%) for RIF resistance detection over Truenat®. Interpretation & conclusions PathoDetect™ is a reliable molecular diagnostic tool for detection of MTB and resistance to RIF & INH. The assay showed better RIF resistance detection compared to INH. Its high sensitivity and specificity indicate strong discriminatory ability, while PPV and NPV demonstrate reasonably good diagnostic performance in the study population. These findings support PathoDetect™ as a promising alternative for rapid TB diagnosis, particularly in high-burden settings."
40683298,"Bedaquiline, delamanid, linezolid, and clofazimine for rifampicin-resistant and fluoroquinolone-resistant tuberculosis (endTB-Q): an open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial.",The Lancet. Respiratory medicine,2025,Guglielmetti L; Khan U; Velásquez GE; Gouillou M; Ali MH; Amjad S; Kamal F; Abubakirov A; Ardizzoni E; Baudin E; Bektassov S; Berry C; Bonnet M; Chavan V; Coutisson S; Dakenova Z; de Jong BC; Dinh LV; Ferlazzo G; Kirakosyan O; Lachenal N; Lecca L; McIlleron H; Mikanda KK; Mucching-Toscano S; Mulders W; Mushtaque H; Nahid P; Nguyen DV; Nguyen NV; Oyewusi L; Motta I; Panda S; Patil S; Pham TH; Phan DT; Phan HTT; Phillips PPJ; Ruiz J; Rupasinghe P; Salahuddin N; Sanchez-Garavito E; Seung KJ; Asfaw MT; Vargas Vasquez D; Rich ML; Varaine F; Mitnick CD; endTB-Q Clinical Trial Team,"Pre-extensively drug-resistant (pre-XDR) tuberculosis (ie, multidrug-resistant or rifampicin-resistant with additional resistance to any fluoroquinolone) is difficult to treat. endTB-Q aimed to evaluate the efficacy and safety of bedaquiline, delamanid, linezolid, and clofazimine (BDLC) compared with the standard of care for patients with pre-XDR tuberculosis. This open-label, multicentre, stratified, non-inferiority, randomised, controlled, phase 3 trial was conducted in ten hospitals in India, Kazakhstan, Lesotho, Pakistan, Peru, and Viet Nam. Participants aged 15 years or older who had pulmonary tuberculosis with resistance to rifampicin and fluoroquinolones were included. Participants were randomly assigned (2:1) to the BDLC group (all-oral bedaquiline 400 mg once per day for 2 weeks followed by 200 mg three times per week, delamanid 100 mg twice per day, linezolid 600 mg once per day for 16 weeks and then either 300 mg once per day or 600 mg three times per week, and clofazimine 100 mg once per day) or the control group (individualised WHO-recommended longer standard of care). Randomisation was stratified by country and baseline disease extent. BDLC was administered for 39 weeks (9-month regimen) for extensive disease and 24 weeks (6-month regimen) for limited disease and extended to 9 months for those with a positive culture at 8 weeks or later or a missing 8-week culture result. Site staff and participants were not masked, whereas investigators and laboratory staff were masked to treatment assignment. The primary endpoint was favourable outcome (two consecutive, negative cultures including one between weeks 65 and 73; or favourable bacteriological, radiological, and clinical evolution) at week 73 after randomisation in the modified intention-to-treat (mITT) and per-protocol populations. We report the risk differences adjusted for stratification variables, with a non-inferiority margin of -12%. This trial is registered with ClinicalTrials.gov, NCT03896685. Between April 4, 2020, and March 28, 2023, 1030 individuals were screened and 324 (31%) were randomly assigned (219 to the BDLC group and 105 to the control group). 114 (46%) participants were female and 133 (54%) were male. Median age was 30·5 years (IQR 21·6-43·0). 157 (64%) participants had extensive disease at baseline. In the BDLC group, 47 (29%) of 163 were assigned to receive the 6-month regimen and 116 (71%) the 9-month regimen. The core regimen of BDLC plus one or more other drugs was used for 76 (91%) of 84 participants in the control group. At week 73, favourable outcome was reached by 141 (87%) participants in the BDLC group versus 75 (89%) in the control group in the mITT population (adjusted risk difference 0·2% [95% CI -9·1 to 9·5]; p The shortened BDLC strategy was not non-inferior to the control. Accumulating evidence suggests that this patient population might require longer, reinforced regimens. Unitaid, Médecins Sans Frontières, Partners In Health, Interactive Research and Development, Ramón Areces Foundation, the Jung Foundation for Science and Research, Research Foundation-Flanders. For the Hindi, Marathi, Spanish, Vietnamese, Russian, Urdu and French translations of the abstract see Supplementary Materials section."
40672039,Prognostic Value of Time-to-Positivity and Cycle Threshold (CT) Values in Predicting Tuberculosis Outcomes and Multidrug Resistance in Northern India: A Study Using Liquid Culture and Molecular Diagnostics.,Cureus,2025,Bir R; Singh UB; Gautam H; Verma N; Bala K; Mohan A; Guleria R,"Relapse and default cases of pulmonary tuberculosis (PTB) present a significant challenge due to higher bacillary loads and the increased risk of developing multidrug-resistant tuberculosis (MDR-TB). Conventional diagnostic methods, such as smear microscopy, lack sensitivity and timeliness. This study evaluates the prognostic value of time to positivity (TTP) from liquid culture and cycle threshold (CT) values from GeneXpert This study aimed to assess the utility of baseline mycobacteria growth indicator tube (MGIT) TTP and GeneXpert CTvalues as early biomarkers for prognosis and the risk of MDR-TB development in smear-positive relapse and default PTB patients. This cross-sectional study with a prospective arm enrolled 72 adult PTB patients (relapse, default, or treatment failure). Sputum samples underwent smear microscopy, MGIT liquid culture, and GeneXpert testing. Baseline and three-month follow-up results were compared. TTP and CT values were correlated with microbiological outcomes. MGIT culture was positive in 52.8% (38/72) of patients (mean TTP: 26.5 days). In comparison, GeneXpert detected Baseline MGIT TTP demonstrates significant prognostic potential in identifying patients with PTB at risk of treatment failure or MDR development. In contrast, GeneXpert CT values, while useful diagnostically, were less predictive of outcomes. Incorporating TTP into routine clinical practice could enable earlier intervention and improve TB control strategies in high-burden settings."
40669825,"Lineage identification and mutation profile of Mycobacterium tuberculosis: A study from National Reference Laboratory, India.",Indian journal of medical microbiology,2025,Yadav RN; Bhalla M; Shenai S; Sharma SK; Singhal R,"The present study aimed to find out the most prevalent lineage of Mycobacterium tuberculosis (MTB) and analysis of their mutation profile conferring to drug resistance at National Reference Laboratory (NRL) in New Delhi. A total 212 liquid culture MTB isolates of presumptive multidrug resistance tuberculosis (MDR-TB) patients were selected at NRL and subjected to whole genome sequencing (Illumina Miseq, USA). The genome sequencing data of 194 samples was successfully obtained in fastq files from instrument and analysed by Mykrobe predictor for lineage and mutation identification conferring drug resistance. In a total 194 isolates, the number of isolates belonging to lineage and sub-lineage of lineage 1, 2, 3 and 4 were 13 (6.7 %), 63 (32.4 %), 82 (42.2 %) and 28 (14.4 %) respectively. Out of total 194 culture isolates analysed, 179 harbor at least one or more mutations. Among these 179 mutated isolates, following gene mutations were found in either single or in combinations: rpoB (146, 81.5 %), katG (138, 77 %), pncA (62, 34.6), gyrA (121, 67.5 %), embB (106, 59.2 %), rpsL (86,48 %) followed by fabG1 (31, 17.3 %), embA (18,10 %), gid (6,3.3 %), inhA (4), eis (4,2.2 %), rrs (17, 9.4 %). Lineage 2 was found to be most mutated MTB strains having atleast one or more mutations. In lineage 2, the frequency of rpoB, katG, gyrA, embB, and pncA gene mutations was 92 %, 82.5 %, 93.6 %, 68.2 %, and 61.9 %, respectively. This was higher than in lineage 1 (30.7 %, 53.8 %, 15.2 %, 38.4 %, 0 % respectively), lineage 3 (69.5 %, 68.2 %, 46.3 %, 46.3 %, 24.3 % respectively), and Euro-American lineage 4 (74 %, 62.9 %, 48.1 %, 40.7 %, 26.9 % respectively). Based on this study, lineage 3 may the most prevalent strain of MTB in north India. More attention required to take care patients having Lineage 2 infection to break chain of transmission as it was found to be most mutated strains."
40540654,Diagnostic Modalities for Detecting Extrapulmonary Tuberculosis and Resistance Patterns of Rifampicin and Isoniazid at a Referral Hospital: A Retro Prospective Study.,International journal of mycobacteriology,2025,Kumar A; Singh AK; Gaur V; Mishra AK; Mehta A; Singh RK,"Tuberculosis (TB), caused by Mycobacterium tuberculosis complex, results in approximately 1.5 million annual deaths globally. Diagnosing extrapulmonary TB (EPTB) remains challenging due to the invasive nature of sample collection and limitations in conventional diagnostic sensitivity. This study evaluates the diagnostic performance of Xpert®Mycobacterium tuberculosis/Rifampicin (MTB/RIF), a nucleic acid amplification test, against direct microscopy for EPTB specimens. In addition, we compare the detection of first-line anti-tubercular drug resistance between Xpert® MTB/RIF and the MTB-DR plus line probe assay. From January 2022, to April 2023, 2839 clinically suspected EPTB specimens were collected from patients referred to tertiary care hospitals in Gorakhpur, India. Specimens included lymph node aspirates, pleural fluid, cerebrospinal fluid, and tissue biopsies, processed according to the Indian National Tuberculosis Elimination Program protocols. Diagnostic evaluations employed microscopy (acid-fast bacilli staining), Xpert® MTB/RIF, and MTB-DR plus assays. Of 2839 specimens, Xpert® MTB/RIF detected M. tuberculosis in 339 cases (11.9%), significantly outperforming microscopy (183 cases, 6.4%). The highest positivity rates occurred in tissue biopsies and lymph node aspirates (29%), while genitourinary TB was least frequent. Rifampicin resistance was identified in 14 cases (4.13%), all confirmed as multidrug-resistant TB (MDR-TB) by MTB-DR plus. Xpert® MTB/RIF demonstrated superior sensitivity over microscopy, supporting its utility for EPTB diagnosis in low-resource settings. The high MDR-TB prevalence (4.13%) underscores the need for rapid molecular diagnostics to guide treatment. However, global EPTB burden estimates remain inconsistent, necessitating standardized surveillance and diagnostic protocols to improve detection accuracy and inform public health strategies."
40518218,Empowering care: Unleashing pharmaceutical care to confront MDR-TB transmission risks-A prospective interventional study.,The Indian journal of tuberculosis,2025,Byakod VR; Ganachari MS,"According to recent NTEP report it was estimated that in India the MDR-TB cases were 9.1/lakh population. Patients undergoing the pulmonary TB are known to cause MDR-TB due to multi drug resistance. Early identification of risk elements in Multidrug resistant-TB patients is crucial to managing and preventing the disease. To evaluate risk variables that contribute to cause Multidrug resistant tuberculosis and to providing patient counselling to TB patients regarding risk factors. ology: A Prospective interventional study to assess the various Risk factors involved in cause of Multi drug resistance tuberculosis. This study was conducted for period of 09 months. The study is conducted with standard validated questionnaires which are prepared to assess the risk factors among Multidrug resistant-TB patients. Study site includes the tertiary care hospitals in Belagavi. Overall, 120 Multidrug resistant tuberculosis patients were recruited from the district tuberculosis centre, Belagavi District, Karnataka. India. Most patients (47.50%) were aged 25-44 years. Of the 120 MDR-TB patients, 67.50% are male and 32.5% are female. Of 120 MDR-TB patients, 7.50% are HIV positive. As part of the study, smoking (26.67%), chewing tobacco (50%), and alcohol consumption (33.33%) were found to be other major risk factors. 24.17% of patients had a family history of tuberculosis, of which 5% had contact with an infected person as a source of infection. This study documented various risk variables involved in the emergence of Multidrug resistant TB. This research also highlighted the significance of pharmaceutical care in the effective management of multidrug-resistant tuberculosis (MDR-TB). This study identified risk variables that contribute to MDR-TB and helped educate tuberculosis patients about these risk factors."
40513665,"Unearthing novel mutations and genetic variation in drug sensitive and resistant isolates of Mycobacterium tuberculosis through whole genome sequencing: A study from eastern Uttar Pradesh, India.",Indian journal of medical microbiology,2025,Singh K; Vijayakumar S; Sharma S; Anupurba S,"Drug-resistant tuberculosis (DR-TB) presents a formidable public health challenge worldwide. Therefore, this study was conducted to elucidate the complete genetic profiles of drug-sensitive (DS), and drug-resistant TB isolates using Whole Genome Sequencing (WGS). The study includes a set of sputum specimens containing five DS-TB, multidrug-resistant tuberculosis (MDR-TB) and extensively drug-resistant tuberculosis (XDR-TB) from distinct individuals. The identification and susceptibility was confirmed using GeneXpert assay, GenoType MTBDR plus assay, and GenoTypeMTBDRsl assay. Furthermore, specimens were cultured using the BD BACTEC MGIT 960 and subsequently confirmed through Capilia rapid kit. WGS was employed for the identification of Single Nucleotide Polymorphisms (SNPs), Mycobacterium tuberculosis complex (MTBC) lineages, and spoligotypes. The H37Rv was used as a positive control. The findings of WGS showed, all the MDR-TB and XDR-TB isolates exhibited non-synonymous mutation (Ser450Leu, Gln432Leu, and His445Gln) within the rpoB gene. The isolates were simultaneously harboring mutations at fabG1-8T > C, fabG1-17G > T, fabG1-15C > T, and inhA-154G > A. One DS-TB isolate was carrying resistance mutations in the rrs gene at position 517C > T, while three MDR-TB isolates turned out to be pre-XDR-TB carrying mutations associated with fluoroquinolone (FQ) resistance (gyrA Ala90Val, gyrA Asp94His, and gyrA Asp94 Gly). The study reports novel mutations pncA391dupG and for the first time mutation in thyX gene in clinical isolates of MTBC. Most of the MDR/XDR-TB isolates were predominantly associated with the Beijing sub-lineage within the East Asian Lineage 2. In conclusion, our study highlighted the challenges surrounding the rapid identification and essential information regarding the genetic diversity of TB strains which contribute valuable insights into the TB epidemiology."
40354869,Characterisation of M. tuberculosis isolates obtained from Tamil Nadu prevalence survey by whole genome sequencing analysis.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2025,Rajendran P; Giridaran P; Thomas SV; Nagaraj N; Thiruvengadam K; Radhika G; Samyuktha R; Selvaraju S; Frederick A; Padmapriyadarsini C; Shanmugam S,"Recent advances in whole genome sequencing have facilitated the understanding of drug resistance patterns and lineage distribution of M. tuberculosis worldwide. In this study, we aimed to determine the genetic diversity of MTB isolates from presumptive pulmonary TB patients obtained from a state prevalence survey. A total of 124 isolates were available for further characterisation, out of which 71 (57.2 %) and 47 (37.9 %) were subjected to sequencing and phenotypic DST, respectively. The phenotypic resistance profile revealed 3 isolates with multidrug resistance and 3 with mono-INH resistance. Out of 71 isolates, sequencing data were available for 61 (85.9 %), where the lineage distribution and drug resistance profile were analysed in comparison with phenotypic DST results. All the mutations were significant, accounting for one or the other resistance pattern. The concordance between pDST and gDST for the drugs was above 90 % except for ETH (77 %) and INH (87 %). The phylogenetic analysis of the lineage distribution revealed three clusters with MDR isolates belonging to lineage 1 and lineage 3. While lineage 2 is more frequently associated with MDR distribution both in India and worldwide, we did not find any lineage 2 MDR-TB isolates in our study. The use of WGS analysis improved our understanding of the genetic characteristics of MTB and its correlation with DR-TB transmission."
40087532,A wake-up call for India to improve the TB elimination strategies.,Pediatric research,2025,Poddar A; Rao SR,"To augment a recent study highlighting the concerning rise in the global burden of multidrug-resistant tuberculosis (MDR-TB) among children and adolescents, this article presents the realities in India, stressing the urgent need for enhanced TB elimination strategies. It explores how insufficient data, rising air pollution, and recent U.S. sanctions impede the detection and control of pediatric TB burden including MDR-TBs in India. This article serves as a wake-up call for stakeholders to take decisive actions while facilitating future research and policy development. We provide targeted recommendations to address vulnerabilities and prevent a potential public health crisis."
40079698,Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025,Singla R; Khan S; Silsarma A; Chavan V; Mahajan R; Mansoor H; Devan RK; Singla N; Bhalla M; Kumar G; Singh P; Iyer A; Morales M; Devkota SC; Dalal A; Spencer H; Isaakidis P,"Bedaquiline (BDQ) resistance presents a critical challenge in the fight against tuberculosis (TB), particularly multidrug-resistant (MDR) strains. The emergence of resistance to BDQ, a key drug in treating MDR-TB, poses significant threats to TB treatment effectiveness. The National Institute of Tuberculosis and Respiratory Diseases in Delhi and the Médecins Sans Frontières clinic in Mumbai provide BDQ, delamanid, and carbapenem-based regimens for patients with suspected or confirmed treatment failure. BDQ phenotypic drug-susceptibility testing (DST) was performed for all BDQ-exposed patients. Treatment regimens were individualized based on exposure history, comorbidities, drug interactions, prior adverse drug reactions, and DST results. Of 117 BDQ-exposed patients from December 2020-December 2022, 42 (36%) exhibited a BDQ-resistant strain. Median (IQR) age was 24 (22-32) years, with 63 (54%) females and 94% with pulmonary TB. Patients with a BDQ-resistant strain were older (median age: 27 vs 23 years; P = .04), more likely to have lung cavities (risk ratio [RR]: 1.8; 95%-CI: 1.1-3.1; P = .02), and be resistant to clofazimine (RR: 2.3; 95%-CI: 1.5-3.6; P = .001). Overall, 102 patients initiated treatment. Patients with BDQ-resistance had higher risk of unfavorable outcomes compared with BDQ-susceptible patients (RR:2.1; 95%-CI: 1.5-2.8; P < .001). Overall, 87% (33/38) of patients with BDQ-resistance experienced unfavorable treatment outcomes: 15 (40%) died, 15 (40%) had treatment failure, and 3 (8%) were lost-to-follow-up. The study highlights a concerning rate of BDQ-resistance among previously treated patients, resulting in poor treatment outcomes. To prevent treatment failure, we recommend implementing BDQ-DST, developing affordable and accurate rapid tests for BDQ-resistance, and intensifying research and development efforts for newer TB drugs."
