State,notif_2024,Growth_17_24,success_rate,cluster
Andaman and Nicobar Islands,533,0.8253424657534246,75.61,1
Andhra Pradesh,81804,-0.015808850068577202,95.56,3
Arunachal Pradesh,2939,-0.06816740646797717,74.75,1
Assam,49389,0.22937720914023996,89.43,2
Bihar,203853,1.112707147965053,84.23,0
Chandigarh,4108,-0.3072512647554806,77.97,1
Chhattisgarh,38957,-0.05609129676293855,89.13,2
Dadra and Nagar Haveli and Daman and Diu,790,-0.44366197183098594,88.2,2
Delhi,90281,0.37011518674214255,77.76,1
Goa,1973,0.019638242894056846,75.48,1
Gujarat,129465,-0.13146295811781752,91.57,3
Haryana,83673,1.0532747662634045,88.27,0
Himachal Pradesh,15621,-0.05045286000851012,88.17,2
Jammu and Kashmir,11964,0.1420389461626575,86.17,2
Jharkhand,63913,0.4483547860768673,90.15,2
Karnataka,74135,-0.08686119698966584,87.38,2
Kerala,20214,-0.11162872461984706,83.26,2
Lakshadweep,14,-0.6956521739130435,92.31,3
Madhya Pradesh,177525,0.3215293338196869,87.68,0
Maharashtra,214670,0.11541219382930301,88.76,3
Manipur,2561,-0.08698752228163993,71.89,1
Meghalaya,4318,0.09012875536480687,85.47,2
Mizoram,2163,-0.03652561247216036,72.86,1
Nagaland,4009,0.3305675406571523,78.2,1
Odisha,59483,0.16532795235483114,92.58,3
Puducherry,1355,-0.5313040470425459,76.71,1
Punjab,60456,0.5055284390875585,82.3,2
Rajasthan,168059,0.5570245330566261,89.08,0
Sikkim,1169,0.042818911685994644,81.83,2
Tamil Nadu,91318,0.21129077186326917,88.73,2
Tripura,3422,-0.0507628294036061,80.53,1
Uttar Pradesh,670590,1.21999682190765,92.28,0
Uttarakhand,28382,0.8098456829486035,90.02,0
West Bengal,97332,-0.08992987377279102,87.07,2
