state,year,forecast_notifications,dr_cases_est
Andaman and Nicobar Islands,2025,562.3214285714166,24.347386391606946
Andhra Pradesh,2025,83792.74999999953,3628.057472837722
Arunachal Pradesh,2025,2595.785714285681,112.39229836232397
Assam,2025,49408.14285714319,2139.2731699567453
Bihar,2025,207654.75,8991.03284601297
Chandigarh,2025,3927.678571428638,170.06057913096703
Chhattisgarh,2025,35082.10714285704,1518.9846494181995
Dadra and Nagar Haveli and Daman and Diu,2025,766.785714285681,33.20027855368622
Delhi,2025,98408.71428571292,4260.899317144205
Goa,2025,1855.535714285681,80.34096284381981
Gujarat,2025,129713.3928571418,5616.328910108466
Haryana,2025,87820.99999999814,3802.472592462673
Himachal Pradesh,2025,14933.96428571426,646.610604448208
Jammu and Kashmir,2025,11385.714285714173,492.9785189993257
Jharkhand,2025,64809.14285714179,2806.1054810954656
Karnataka,2025,71545.10714285681,3097.759181010512
Kerala,2025,20055.21428571432,868.3504248117895
Ladakh,2025,,
Lakshadweep,2025,3.642857142858702,0.15772838437250072
Madhya Pradesh,2025,188541.6071428582,8163.472218485305
Maharashtra,2025,216048.39285714272,9354.460692600984
Manipur,2025,2202.5000000000146,95.36381827694139
Meghalaya,2025,4513.821428571388,195.43938544782884
Mizoram,2025,1959.6071428571304,84.8470462954018
Nagaland,2025,4198.892857142782,181.80361198315953
Odisha,2025,60313.57142857183,2611.4562839262703
Puducherry,2025,1898.0000000000582,82.1795809714593
Punjab,2025,60934.03571428498,2638.3211390409497
Rajasthan,2025,179926.53571428917,7790.456960298281
Sikkim,2025,1266.1428571428423,54.82143806638665
Tamil Nadu,2025,95785.3571428582,4147.313231402225
Telangana,2025,72736.85714285681,3149.359558050941
Tripura,2025,2909.249999999971,125.96467120190108
Uttar Pradesh,2025,683865.7857142836,29610.012492474118
Uttarakhand,2025,30423.892857142724,1317.293343793723
West Bengal,2025,88846.5714285709,3846.8777717336993
Andaman and Nicobar Islands,2026,577.0595238095084,27.382248689080065
Andhra Pradesh,2026,83420.33333333267,3958.4067480243407
Arunachal Pradesh,2026,2528.988095238048,120.0038784532579
Assam,2026,50611.3690476194,2401.5773704034805
Bihar,2026,223132.83333333582,10587.95233583108
Chandigarh,2026,3642.3571428571595,172.83473365407175
Chhattisgarh,2026,34427.464285714086,1633.6293742845114
Dadra and Nagar Haveli and Daman and Diu,2026,680.4047619047051,32.28611890280348
Delhi,2026,99405.26190476026,4716.913056923769
Goa,2026,1814.1547619047196,86.08407764075332
Gujarat,2026,126432.53571428452,5999.393463718952
Haryana,2026,92093.83333333209,4369.975960913929
Himachal Pradesh,2026,14785.261904761894,701.5805158828242
Jammu and Kashmir,2026,11320.678571428434,537.1813880231905
Jharkhand,2026,67364.11904761847,3196.51783633259
Karnataka,2026,70164.6309523806,3329.405883871755
Kerala,2026,19446.59523809515,922.7670370122527
Ladakh,2026,,
Lakshadweep,2026,0.0,0.0
Madhya Pradesh,2026,193450.2976190485,9179.476188889575
Maharashtra,2026,218394.6190476194,10363.117710354094
Manipur,2026,2140.7500000000146,101.58145990585707
Meghalaya,2026,4512.392857142808,214.11909568951296
Mizoram,2026,1893.7976190476038,89.86323807501597
Nagaland,2026,4257.369047618966,202.0178737429125
Odisha,2026,61186.559523809934,2903.384348029986
Puducherry,2026,1703.0000000000582,80.80963504364327
Punjab,2026,62875.0714285709,2983.5065035147636
Rajasthan,2026,187144.40476190858,8880.253111725877
Sikkim,2026,1260.7857142856938,59.8259738342117
Tamil Nadu,2026,98489.13095238246,4673.441413991394
Telangana,2026,73413.71428571409,3483.5792475787744
Tripura,2026,2830.999999999971,134.33474856637926
Uttar Pradesh,2026,730077.3214285672,34643.14850163308
Uttarakhand,2026,32246.202380952425,1530.1255701398336
West Bengal,2026,85585.3928571418,4061.141727452863
Andaman and Nicobar Islands,2027,591.7976190476038,30.492588906362673
Andhra Pradesh,2027,83047.91666666593,4279.074299964037
Arunachal Pradesh,2027,2462.1904761904443,126.86526539336633
Assam,2027,51814.595238095615,2669.7659826470767
Bihar,2027,238610.91666667163,12294.514807606743
Chandigarh,2027,3357.035714285681,172.97249377993305
Chhattisgarh,2027,33772.82142857113,1740.1569842182441
Dadra and Nagar Haveli and Daman and Diu,2027,594.0238095237582,30.607294185383367
Delhi,2027,100401.8095238076,5173.23998057202
Goa,2027,1772.7738095237582,91.34281933200238
Gujarat,2027,123151.67857142631,6345.4353092031415
Haryana,2027,96366.66666666605,4965.327768084113
Himachal Pradesh,2027,14636.559523809527,754.1540861237069
Jammu and Kashmir,2027,11255.642857142695,579.9511175324308
Jharkhand,2027,69919.09523809515,3602.6069709965445
Karnataka,2027,68784.15476190438,3544.1287475975205
Kerala,2027,18837.97619047598,970.6336174999484
Ladakh,2027,,
Lakshadweep,2027,0.0,0.0
Madhya Pradesh,2027,198358.9880952388,10220.519456641594
Maharashtra,2027,220740.84523809608,11373.752837195605
Manipur,2027,2079.0000000000146,107.12123586835361
Meghalaya,2027,4510.964285714226,232.42908573531
Mizoram,2027,1827.9880952380772,94.18775561064892
Nagaland,2027,4315.845238095149,222.37550539744973
Odisha,2027,62059.54761904804,3197.6409035032807
Puducherry,2027,1508.0,77.7002518948899
Punjab,2027,64816.10714285681,3339.67364180779
Rajasthan,2027,194362.27380952798,10014.587290360667
Sikkim,2027,1255.428571428547,64.68641660214846
Tamil Nadu,2027,101192.90476190671,5214.0014522385645
Telangana,2027,74090.57142857113,3817.543808379515
Tripura,2027,2752.749999999971,141.8364511960583
