Year,Point_Estimate,Bootstrap_Median,CI_Lower_95,CI_Upper_95,CI_Width,Relative_Uncertainty
2025,82233.22199749752,82711.1260872953,52072.38306393722,102068.58634637175,49996.20328243454,60.44676895060932
2026,82819.79957893016,83559.17770508029,50893.70940665085,104953.85437557772,54060.14496892687,64.69683696473247
2027,83289.06164407627,84003.3089710789,49950.77048082175,107553.762061173,57602.99158035124,68.57228874184361
2028,83664.47129619317,84358.61334776304,49196.41934015848,109632.42910142681,60436.00976126833,71.64177712609465
2029,83964.79901788667,84642.85693289443,48592.93842762786,111295.36273362985,62702.424306001994,74.07881370983614
2030,84205.06119524148,84870.25166408542,48110.15369760336,112625.7096393923,64515.55594178894,76.01668980214656
2031,84397.27093712533,85052.16758139577,47723.925913583764,113689.98716400223,65966.06125041847,77.55952978774855
2032,84551.03873063241,85197.69985157019,47414.94368636809,114541.40918369021,67126.46549732212,78.78905840682151
2033,84674.05296543807,85314.12602404002,47167.75790459554,115222.54679944058,68054.78889484503,79.7696607425462
2034,84772.4643532826,85242.0663178862,46970.00927917751,115767.45689204088,68797.44761286337,80.70832933155647
